wdt:P702	rdfs:label	encoded by
wdt:P1090	rdfs:label	redshift
wdt:P688	rdfs:label	encodes
wdt:P180	rdfs:label	depicts
wdt:P4224	rdfs:label	category contains
wdt:P231	rdfs:label	CAS Registry Number
wdt:P159	rdfs:label	headquarters location
wdt:P47	rdfs:label	shares border with
wdt:P710	rdfs:label	participant
wdt:P123	rdfs:label	publisher
wdt:P580	rdfs:label	start time
wdt:P7715	rdfs:label	World Flora Online ID
wdt:P961	rdfs:label	IPNI plant ID
wdt:P282	rdfs:label	writing system
wdt:P5037	rdfs:label	Plants of the World Online ID
wdt:P1344	rdfs:label	participant in
wdt:P26	rdfs:label	spouse
wdt:P3382	rdfs:label	GeneDB ID
wdt:P3117	rdfs:label	DSSTox substance ID
wdt:P7959	rdfs:label	historic county
wdt:P7902	rdfs:label	Deutsche Biographie (GND) ID
wdt:P590	rdfs:label	GNIS Feature ID
wdt:P3151	rdfs:label	iNaturalist taxon ID
wdt:P8494	rdfs:label	DSSTOX compound identifier
wdt:P691	rdfs:label	NL CR AUT ID
wdt:P681	rdfs:label	cell component
wdt:P8189	rdfs:label	National Library of Israel J9U ID
wdt:P137	rdfs:label	operator
wdt:P582	rdfs:label	end time
wdt:P351	rdfs:label	Entrez Gene ID
wdt:P301	rdfs:label	category's main topic
wdt:P1843	rdfs:label	taxon common name
wdt:P910	rdfs:label	topic's main category
wdt:P637	rdfs:label	RefSeq protein ID
wdt:P215	rdfs:label	spectral class
wdt:P1559	rdfs:label	name in native language
wdt:P442	rdfs:label	China division code for Statistics
wdt:P2046	rdfs:label	area
wdt:P268	rdfs:label	Bibliothèque nationale de France ID
wdt:P2892	rdfs:label	UMLS CUI
wdt:P25	rdfs:label	mother
wdt:P1454	rdfs:label	legal form
wdt:P4638	rdfs:label	The Peerage person ID
wdt:P3368	rdfs:label	Prabook ID
wdt:P291	rdfs:label	place of publication
wdt:P850	rdfs:label	WoRMS-ID for taxa
wdt:P452	rdfs:label	industry
wdt:P1207	rdfs:label	NUKAT ID
wdt:P7937	rdfs:label	form of creative work
wdt:P463	rdfs:label	member of
wdt:P126	rdfs:label	maintained by
wdt:P639	rdfs:label	RefSeq RNA ID
wdt:P815	rdfs:label	ITIS TSN
wdt:P140	rdfs:label	religion or worldview
wdt:P1225	rdfs:label	U.S. National Archives Identifier
wdt:P6879	rdfs:label	effective temperature
wdt:P1057	rdfs:label	chromosome
wdt:P6224	rdfs:label	level of description
wdt:P352	rdfs:label	UniProt protein ID
wdt:P685	rdfs:label	NCBI taxonomy ID
wdt:P175	rdfs:label	performer
wdt:P102	rdfs:label	member of political party
wdt:P2860	custom:count	0311990422
wdt:P2093	custom:count	0149922165
wdt:P31	custom:count	0121300685
wdt:P1476	custom:count	0052687052
wdt:P577	custom:count	0050012153
wdt:P1433	custom:count	0046335235
wdt:P478	custom:count	0040202169
wdt:P304	custom:count	0040131943
wdt:P433	custom:count	0038470606
wdt:P50	custom:count	0035318258
wdt:P407	custom:count	0034874415
wdt:P921	custom:count	0033902554
wdt:P356	custom:count	0033897805
wdt:P698	custom:count	0032172850
wdt:P528	custom:count	0028966325
